feature,importance,importance_percentage
delivery_delay_days,0.5970303881181098,59.703038811810984
item_count,0.2429815233355115,24.29815233355115
actual_delivery_days,0.11538600261908762,11.538600261908762
estimated_delivery_days,0.014028312772485532,1.4028312772485532
shipping_distance_encoded,0.00786862028513198,0.786862028513198
freight_value,0.006012957448279515,0.6012957448279516
total_order_value,0.0045744254835417665,0.45744254835417664
customer_region_encoded,0.004524813115197761,0.4524813115197761
product_size_category_encoded,0.003499720533654269,0.3499720533654269
seller_region_encoded,0.0020675100327259494,0.20675100327259494
product_weight_grams,0.0017711944438316457,0.17711944438316457
order_complexity_encoded,0.00025453181244253063,0.025453181244253064
freight_category_encoded,0.0,0.0
